PercPrey-Ini,PercPred-Ini,PercPrey-Final,PercPred-Final
0.02,0.91,0.03642499819397926,0.0170499999076128
0.02,0.92,0.04349999874830246,0.013450000435113907
0.02,0.93,0.04292500019073486,0.0142000000923872
0.02,0.9400000000000001,0.02290000021457672,0.010200000368058681
0.02,0.9500000000000001,0.05689999833703041,0.02319999970495701
0.02,0.96,0.10707499831914902,0.016574999317526817
0.02,0.97,0.16807499527931213,0.03465000167489052
0.02,0.98,0.1820250004529953,0.033149998635053635
0.02,0.99,0.42890000343322754,0.03567500039935112
0.03,0.0,1.0,0.0
0.03,0.01,0.3136749863624573,0.019999999552965164
0.03,0.02,0.10737500339746475,0.01484999991953373
0.03,0.03,0.0005000000237487257,0.0008500000112690032
0.03,0.04,0.0019249999895691872,0.0024999999441206455
0.03,0.05,0.0008249999955296516,0.0009500000160187483
0.03,0.06,0.0015750000020489097,0.00139999995008111
0.03,0.07,0.0010000000474974513,0.00139999995008111
0.03,0.08,0.012000000104308128,0.005849999841302633
0.03,0.09,0.0008249999955296516,0.001500000013038516
0.03,0.1,0.0019249999895691872,0.0031999999191612005
0.03,0.11,0.0015249999705702066,0.00139999995008111
0.03,0.12,0.0006500000017695129,0.0012499999720603228
0.03,0.13,0.0013249999610707164,0.0022499999031424522
0.03,0.14,0.0023499999660998583,0.002899999963119626
0.03,0.15,0.0019249999895691872,0.0022499999031424522
0.03,0.16,0.0018749999580904841,0.0023499999660998583
0.03,0.17,0.001724999980069697,0.00279999990016222
0.03,0.18,0.0013749999925494194,0.0023499999660998583
0.03,0.19,0.0005000000237487257,0.0008500000112690032
0.03,0.2,0.002050000010058284,0.002749999985098839
0.03,0.21,0.002199999988079071,0.0035500000230968
0.03,0.22,0.001075000036507845,0.001825000043027103
0.03,0.23,0.0028250000905245543,0.003100000089034438
0.03,0.24,0.0018500000005587935,0.0030499999411404133
0.03,0.25,0.0017999999690800905,0.0023499999660998583
0.03,0.26,0.0038250000216066837,0.004550000187009573
0.03,0.27,0.0024500000290572643,0.003700000001117587
0.03,0.28,0.00419999985024333,0.006200000178068876
0.03,0.29,0.00432500010356307,0.005950000137090683
0.03,0.3,0.0019749999046325684,0.003100000089034438
0.03,0.31,0.005350000225007534,0.006850000005215406
0.03,0.32,0.006525000091642141,0.0048500001430511475
0.03,0.33,0.004749999847263098,0.005900000222027302
0.03,0.34,0.0028250000905245543,0.004050000105053186
0.03,0.35000000000000003,0.0027749999426305294,0.0038999998942017555
0.03,0.36,0.007524999789893627,0.006949999835342169
0.03,0.37,0.004075000062584877,0.004699999932199717
0.03,0.38,0.005450000055134296,0.005125000141561031
0.03,0.39,0.0023250000085681677,0.002850000048056245
0.03,0.4,0.005350000225007534,0.007600000128149986
0.03,0.41000000000000003,0.009100000374019146,0.009750000201165676
0.03,0.42,0.0056500001810491085,0.007000000216066837
0.03,0.43,0.0035749999806284904,0.004800000227987766
0.03,0.44,0.006500000134110451,0.008349999785423279
0.03,0.45,0.005625000223517418,0.005750000011175871
0.03,0.46,0.004275000188499689,0.006300000008195639
0.03,0.47000000000000003,0.005524999927729368,0.005900000222027302
